Instance type,Release Date,Instance vCPU,Platform Total Number of vCPU,Platform CPU Name,Instance Memory (in GB),Platform Memory (in GB),Storage Info (Type and Size in GB),Storage Type,Platform Storage Drive Quantity,Platform GPU Quantity,Platform GPU Name,Instance Number of GPU,Instance GPU memory (in GB),PkgWatt @ Idle,PkgWatt @ 10%,PkgWatt @ 50%,PkgWatt @ 100%,RAMWatt @ Idle,RAMWatt @ 10%,RAMWatt @ 50%,RAMWatt @ 100%,GPUWatt @ Idle,GPUWatt @ 10%,GPUWatt @ 50%,GPUWatt @ 100%,Delta Full Machine,Instance @ Idle,Instance @ 10%,Instance @ 50%,Instance @ 100%,Hardware Information on AWS Documentation & Comments
d3en.xlarge,December 2020,4,96,Xeon Platinum 8259CL,16,192,2 x 14 HDD,HDD,24,N/A,N/A,N/A,N/A,"2,28","5,75","12,79","18,56","2,49","4,12","7,37","10,62","0,0","0,0","0,0","0,0","3,5","8,3","13,4","23,7","32,7",
d3en.2xlarge,December 2020,8,96,Xeon Platinum 8259CL,32,192,4 x 14 HDD,HDD,24,N/A,N/A,N/A,N/A,"4,56","11,49","25,58","37,12","4,98","8,24","14,74","21,25","0,0","0,0","0,0","0,0","7,0","16,5","26,7","47,3","65,4",
d3en.4xlarge,December 2020,16,96,Xeon Platinum 8259CL,64,192,8 x 14 HDD,HDD,24,N/A,N/A,N/A,N/A,"9,12","22,99","51,16","74,23","9,95","16,47","29,48","42,49","0,0","0,0","0,0","0,0","14,0","33,1","53,5","94,6","130,7",
d3en.6xlarge,December 2020,24,96,Xeon Platinum 8259CL,96,192,12 x 14 HDD,HDD,24,N/A,N/A,N/A,N/A,"13,68","34,48","76,73","111,35","14,93","24,71","44,22","63,74","0,0","0,0","0,0","0,0","21,0","49,6","80,2","142,0","196,1",
d3en.8xlarge,December 2020,32,96,Xeon Platinum 8259CL,128,192,16 x 14 HDD,HDD,24,N/A,N/A,N/A,N/A,"18,24","45,97","102,31","148,46","19,91","32,94","58,96","84,98","0,0","0,0","0,0","0,0","28,0","66,1","106,9","189,3","261,4",
d3en.12xlarge,December 2020,48,96,Xeon Platinum 8259CL,192,192,24 x 14 HDD,HDD,24,N/A,N/A,N/A,N/A,"27,36","68,96","153,47","222,69","29,86","49,42","88,45","127,48","0,0","0,0","0,0","0,0","42,0","99,2","160,4","283,9","392,2",
dc2.large,October 2017,2,40,Xeon E5-2670 v2,15,244,160 SSD,SSD,4,N/A,N/A,N/A,N/A,"1,39","3,96","8,14","11,15","3,00","4,50","6,00","9,00","0,0","0,0","0,0","0,0","2,3","6,7","10,8","16,4","22,4",N/A
dc2.8xlarge,October 2017,32,40,Xeon E5-2670 v2,244,244,2560 SSD,SSD,4,N/A,N/A,N/A,N/A,"22,19","63,36","130,32","178,37","48,80","73,20","97,60","146,40","0,0","0,0","0,0","0,0","36,8","107,8","173,4","264,7","361,6",N/A
ds2.xlarge,June 2015,4,48,Xeon E5-2676 v3,31,244,2000 HDD,HDD,8,N/A,N/A,N/A,N/A,"2,41","6,89","14,16","19,39","6,20","9,30","12,40","18,60","0,0","0,0","0,0","0,0","4,0","12,6","20,2","30,6","42,0",N/A
ds2.8xlarge,June 2015,36,48,Xeon E5-2676 v3,244,244,16000 HDD,HDD,8,N/A,N/A,N/A,N/A,"21,71","61,98","127,48","174,50","48,80","73,20","97,60","146,40","0,0","0,0","0,0","0,0","36,0","106,5","171,2","261,1","356,9",N/A
f1.2xlarge,November 2016,8,72,Xeon E5-2686 v4,122,976,SSD 470,SSD,4,N/A,N/A,N/A,N/A,"3,89","11,10","22,82","31,24","24,40","36,60","48,80","73,20","0,0","0,0","0,0","0,0","6,4","34,7","54,1","78,1","110,9",1 FPGA - Comment: the estimated Scope 3 does not include the FPGA(s)
f1.4xlarge,November 2016,16,72,Xeon E5-2686 v4,244,976,SSD 940,SSD,4,N/A,N/A,N/A,N/A,"7,77","22,19","45,64","62,47","48,80","73,20","97,60","146,40","0,0","0,0","0,0","0,0","12,9","69,5","108,3","156,1","221,8",2 FPGA - Comment: the estimated Scope 3 does not include the FPGA(s)
f1.16xlarge,November 2016,64,72,Xeon E5-2686 v4,976,976,SSD 4 x 940,SSD,4,N/A,N/A,N/A,N/A,"31,09","88,76","182,57","249,90","195,20","292,80","390,40","585,60","0,0","0,0","0,0","0,0","51,6","277,8","433,1","624,5","887,1",8 FPGA - Comment: the estimated Scope 3 does not include the FPGA(s)
g2.2xlarge,November 2013,8,32,Xeon E5-2670,15,60,1 x 60 (SSD),SSD,2,4,K520,1,4,"6,94","19,80","40,72","55,74","3,00","4,50","6,00","9,00","26,1","71,6","169,3","229,2","11,5","47,6","107,4","227,5","305,4",1 GPU NVIDIA GRID K520
g2.8xlarge,April 2015,32,32,Xeon E5-2670,60,60,2 x 120 (SSD),SSD,2,4,K520,4,16,"27,74","79,20","162,90","222,97","12,00","18,00","24,00","36,00","104,5","286,4","677,0","916,7","46,0","190,3","429,6","909,9","1221,7",4 GPU NVIDIA GRID K520
g3s.xlarge,October 2018,4,72,Xeon E5-2686 v4,30.5,488,,EBS,0,4,Tesla M60,1,8,"1,94","5,55","11,41","15,62","6,10","9,15","12,20","18,30","34,8","95,5","225,7","305,6","3,2","46,1","113,4","252,5","342,7",1*GPU NVIDIA Tesla M60
g3.4xlarge,July 2017,16,72,Xeon E5-2686 v4,122,488,,EBS,0,4,Tesla M60,1,8,"7,77","22,19","45,64","62,47","24,40","36,60","48,80","73,20","34,8","95,5","225,7","305,6","12,9","79,9","167,2","333,0","454,1",1*GPU NVIDIA Tesla M60
g3.8xlarge,July 2017,32,72,Xeon E5-2686 v4,244,488,,EBS,0,4,Tesla M60,2,16,"15,55","44,38","91,28","124,95","48,80","73,20","97,60","146,40","69,7","191,0","451,4","611,1","25,8","159,8","334,3","666,0","908,3",2*GPU NVIDIA Tesla M60
g3.16xlarge,July 2017,64,72,Xeon E5-2686 v4,488,488,,EBS,0,4,Tesla M60,4,32,"31,09","88,76","182,57","249,90","97,60","146,40","195,20","292,80","139,4","381,9","902,7","1222,3","51,6","319,6","668,6","1332,0","1816,5",4*GPU NVIDIA Tesla M60
g4dn.xlarge,March 2019,4,96,Xeon Platinum 8259CL,16,384,125,SSD,2,8,T4,1,16,"2,28","5,75","12,79","18,56","2,49","4,12","7,37","10,62","8,1","22,3","52,7","71,3","3,5","16,4","35,6","76,3","104,0",NVIDIA T4 GPU and custom Intel Cascade Lake CPUs
g4dn.2xlarge,March 2019,8,96,Xeon Platinum 8259CL,32,384,225,SSD,2,8,T4,1,16,"4,56","11,49","25,58","37,12","4,98","8,24","14,74","21,25","8,1","22,3","52,7","71,3","7,0","24,7","49,0","100,0","136,7",NVIDIA T4 GPU and custom Intel Cascade Lake CPUs
g4dn.4xlarge,March 2019,16,96,Xeon Platinum 8259CL,64,384,225,SSD,2,8,T4,1,16,"9,12","22,99","51,16","74,23","9,95","16,47","29,48","42,49","8,1","22,3","52,7","71,3","14,0","41,2","75,7","147,3","202,0",NVIDIA T4 GPU and custom Intel Cascade Lake CPUs
